dates,R0,Q05,Q95,Q025,Q975,city
2020-01-17,0.584272030873375,0.304810014489964,0.937084678227059,0.267166377489654,1.02333228652485,Madrid
2020-01-18,0.767381357791814,0.416335519040536,1.20518903024173,0.367989188877763,1.31105596701563,Madrid
2020-01-19,0.899644267325273,0.488093513330206,1.41291079212589,0.431414395007196,1.53702454834483,Madrid
2020-01-20,1.06161044609487,0.595371143677953,1.6370244663267,0.52995210973098,1.77485400741909,Madrid
2020-01-21,1.16959937444097,0.674879552032121,1.77462477316516,0.604349064027978,1.91834166107342,Madrid
2020-01-22,1.12865502273906,0.651253935997538,1.71250020090628,0.583192520027508,1.85118596881515,Madrid
2020-01-23,1.37519926603354,0.847703126979652,2.00655195756225,0.76968858985812,2.15352731507695,Madrid
2020-01-24,1.1605742367615,0.701644844988384,1.71338634142849,0.634496734903096,1.84285891254452,Madrid
2020-01-25,1.02568538906025,0.60669908475082,1.53399686826806,0.546134271830139,1.65384550118915,Madrid
2020-01-26,1.11952705816119,0.676829076764379,1.65278730955251,0.612055860399836,1.77768069600107,Madrid
2020-01-27,1.02522478909113,0.606426637095154,1.53330800312706,0.545889021745247,1.65310281615639,Madrid
2020-01-28,1.03427835369863,0.611781875084978,1.54684835370892,0.55070966359812,1.66770105188787,Madrid
2020-01-29,1.13032694621616,0.68335833231753,1.66873146900066,0.617960259697306,1.79482968081062,Madrid
2020-01-30,1.02756403098819,0.607810312765191,1.53680653180114,0.547134569535739,1.65687467907742,Madrid
2020-01-31,1.27380603531782,0.798991390984954,1.83882895543651,0.728090210296139,1.9696400070989,Madrid
2020-02-01,1.86348910179765,1.29565608288712,2.51588942648057,1.20595189219526,2.66181510760358,Madrid
2020-02-02,1.78954569912632,1.29566062995781,2.34895235035207,1.21590947952221,2.47227847659162,Madrid
2020-02-03,1.73793199937364,1.30687906590416,2.21958263687374,1.23583954507745,2.32428213351582,Madrid
2020-02-04,1.40419213136823,1.06001548443865,1.78822944612749,1.0031754455731,1.87158744734836,Madrid
2020-02-05,1.2751204809566,0.969642014439898,1.61507428406668,0.918994684669238,1.68865813055261,Madrid
2020-02-06,1.21891817955144,0.933209776572164,1.53608626950588,0.885667815263594,1.60455945253967,Madrid
2020-02-07,1.26266980059801,0.981323686111945,1.57328315215567,0.934130069578334,1.63995131563138,Madrid
2020-02-08,1.11175872737307,0.859126550960749,1.39125547630646,0.816878495773876,1.45137863463842,Madrid
2020-02-09,0.93052950729209,0.705072314462459,1.18175815579801,0.667764040103168,1.23621178590885,Madrid
2020-02-10,1.00632310403612,0.767886289929392,1.27133587097773,0.728281020161375,1.3286226225229,Madrid
2020-02-11,1.18642571420822,0.924575213662701,1.47522680701505,0.88058803314347,1.53714735904878,Madrid
2020-02-12,1.30041153724356,1.03286041625246,1.59343192411485,0.987457000660964,1.65578511888164,Madrid
2020-02-13,1.39608278744759,1.13160569165719,1.68354735094734,1.08623573974031,1.74421733909192,Madrid
2020-02-14,1.25480368102057,1.0203066623076,1.50938035222331,0.980012085408811,1.5630398222367,Madrid
2020-02-15,1.22075752947046,0.999914345561176,1.45985129020864,0.96181808613187,1.51009552709072,Madrid
2020-02-16,1.32519358046475,1.10290995212867,1.56439702756106,1.06423926200453,1.61433088586929,Madrid
2020-02-17,1.281377137288,1.07411433128804,1.50380805606234,1.03791959515794,1.55010025766291,Madrid
2020-02-18,1.2170628075032,1.02494938331845,1.42287021029816,0.991317645377818,1.465618288323,Madrid
2020-02-19,1.12549854186669,0.947838541528225,1.31582227070227,0.916737047193454,1.35535424817125,Madrid
2020-02-20,1.20249782343595,1.02267283421235,1.39441677957031,0.991028402106634,1.43411277330897,Madrid
2020-02-21,1.30395431486649,1.12238816276368,1.49683359651291,1.09023341419389,1.53652047439615,Madrid
2020-02-22,1.32576433556747,1.15174808581238,1.50996220840943,1.12077982013106,1.54770952781435,Madrid
2020-02-23,1.42719891248404,1.25638441711104,1.60707639785374,1.22577314269642,1.64372224192572,Madrid
2020-02-24,1.49395721922433,1.33114673385345,1.66459373494257,1.30178357409831,1.69916806582998,Madrid
2020-02-25,1.4850992303378,1.33579452555071,1.64099863680846,1.30873326620242,1.67245129207097,Madrid
2020-02-26,1.55093258973304,1.41048585509344,1.69694132472356,1.38488213126437,1.72624889556213,Madrid
2020-02-27,1.56860477290699,1.43979406073074,1.7020234944332,1.4161975263754,1.72868867237497,Madrid
2020-02-28,1.73526391969651,1.6121386795523,1.86217580172814,1.58944027757268,1.88739594321192,Madrid
2020-02-29,1.57350976298821,1.46952963376216,1.68046159550793,1.45030808010639,1.70166219767644,Madrid
2020-03-01,1.8919403862746,1.78873488852162,1.99756824887426,1.76953362074396,2.01838276385629,Madrid
2020-03-02,1.96021949070868,1.86883122910152,2.053434578164,1.851754152542,2.07172830134079,Madrid
2020-03-03,1.85093282821838,1.77489219972595,1.92830964209388,1.76063995659408,1.94345177783879,Madrid
2020-03-04,1.7475446561091,1.68337129455096,1.8127240705736,1.67131479633832,1.8254505987068,Madrid
2020-03-05,1.74904698550338,1.69241279425953,1.80646258139703,1.68174770208769,1.81764809067706,Madrid
2020-03-06,1.70677558714434,1.65737567303732,1.756783846201,1.64805568178581,1.76650899787945,Madrid
2020-03-07,1.66034913500712,1.61710835425523,1.70406845547727,1.60893766978938,1.71255785036483,Madrid
2020-03-08,1.57840513494092,1.5407268871491,1.61646522777864,1.53359901070293,1.62384741585668,Madrid
2020-03-09,1.60523987862113,1.57086926389278,1.63992259789261,1.56435857980432,1.64664114630824,Madrid
