dates,R0,Q05,Q95,Q025,Q975,city
2020-03-01,1.03521763428585,0.700830035340771,1.42297455289266,0.648765379919062,1.51051102410342,SantaCruz
2020-03-02,1.39314552072307,1.00278518115583,1.83621094555528,0.939949432615417,1.93409637736301,SantaCruz
2020-03-03,1.46284285099153,1.08123475727698,1.89189937027025,1.01892364438298,1.98577122387696,SantaCruz
2020-03-04,1.57314151737837,1.20440491296086,1.98248014130351,1.14304703479743,2.07085195236071,SantaCruz
2020-03-05,1.66162256828252,1.31402273311978,2.0429273217939,1.25517183105698,2.12420820215631,SantaCruz
2020-03-06,1.67114142984072,1.35672019076167,2.01268638186473,1.30273672856173,2.08472305717665,SantaCruz
2020-03-07,1.58476908465959,1.30990390178546,1.88133003514275,1.26225972982295,1.94341609760416,SantaCruz
2020-03-08,1.5165099915477,1.27243278774569,1.7783536960537,1.22978744312492,1.83282631900936,SantaCruz
2020-03-09,1.58392812367329,1.35475201174399,1.82798162952756,1.31430155756949,1.87833697230463,SantaCruz
2020-03-10,1.50720137082179,1.30397355222813,1.72266538816822,1.267885474323,1.76690034148205,SantaCruz
2020-03-11,1.48680132171476,1.30167265291888,1.68217229852973,1.26859220538498,1.72207241708397,SantaCruz
2020-03-12,1.46987056997598,1.30027520317773,1.64812301559568,1.26980423826698,1.68435837970416,SantaCruz
2020-03-13,1.52573226926297,1.36612794982882,1.69268575668425,1.33726884223871,1.72643858505745,SantaCruz
2020-03-14,1.48539692867904,1.34119686433268,1.63573738129127,1.31500808089183,1.6660150837623,SantaCruz
2020-03-15,1.4246973247149,1.29487723451603,1.55969198977369,1.27121848784292,1.5867965828849,SantaCruz
2020-03-16,1.42071078852325,1.30032240111901,1.54554862066152,1.27830177853962,1.57053227018295,SantaCruz
2020-03-17,1.36399001747604,1.25432066207612,1.47749771047449,1.23421091463568,1.50016356107389,SantaCruz
2020-03-18,1.31719053892416,1.21619464385536,1.42155160626087,1.19763599817614,1.44235127812736,SantaCruz
2020-03-19,1.19561900332736,1.10474386691308,1.28949478220246,1.08803863986788,1.30819828146535,SantaCruz
2020-03-20,1.17018221028513,1.08355847186715,1.25958917138088,1.06761688050409,1.27738425422091,SantaCruz
2020-03-21,1.10330059283341,1.02171170951409,1.1875081463188,1.00669604953637,1.20426771411216,SantaCruz
2020-03-22,1.04236130592661,0.964637881899084,1.12260077841862,0.95033860161167,1.13857562277323,SantaCruz
2020-03-23,0.997598931706496,0.92218265157125,1.07549155432163,0.90831595080293,1.09100737249366,SantaCruz
2020-03-24,0.938285826906675,0.865120246610741,1.01393216043469,0.851685547481396,1.02901890381387,SantaCruz
2020-03-25,0.871723542826841,0.800410104326612,0.945578102767432,0.787344043150976,0.960336392048756,SantaCruz
2020-03-26,0.896115546808991,0.821961920242519,0.972943096167662,0.808382797211092,0.988302879890059,SantaCruz
2020-03-27,0.827112558595418,0.754317939367051,0.902705687996505,0.741027846530019,0.917859379447234,SantaCruz
2020-03-28,0.807690573610059,0.733392108221218,0.884979936786388,0.719858553038497,0.9005051813374,SantaCruz
2020-03-29,0.817934699605181,0.740172191476139,0.898937068322261,0.726032934076023,0.91523378174221,SantaCruz
2020-03-30,0.79591471821541,0.716351427962824,0.878971401782738,0.701925890877589,0.895723185738695,SantaCruz
