dates,R0,Q05,Q95,Q025,Q975,city
2020-02-28,0.969600972142015,0.679412327381551,1.30210251062103,0.633375546337063,1.37627144810616,Malaga
2020-02-29,1.04930009900168,0.745776509973739,1.39535035558665,0.697252295464156,1.47215239103032,Malaga
2020-03-01,1.5127673965931,1.14197824423083,1.92649933246209,1.08074320687657,2.01630276012354,Malaga
2020-03-02,1.71678439739718,1.34816587361794,2.12219587822531,1.28598932173965,2.20885632404464,Malaga
2020-03-03,1.5362619516992,1.22522827073601,1.87638212343687,1.17232971306307,1.94863822184512,Malaga
2020-03-04,1.48490039634027,1.20551995959843,1.78838173285217,1.15755270620794,1.85239025170739,Malaga
2020-03-05,1.61928622394605,1.34912426545519,1.90989334000547,1.30209734612247,1.97053024782053,Malaga
2020-03-06,1.84919125946074,1.58681602806314,2.12824648160003,1.54042570298637,2.18574196921846,Malaga
2020-03-07,1.70953143895551,1.4887276104197,1.94303525447414,1.44938293637473,1.99083582443518,Malaga
2020-03-08,1.55073005135995,1.36411439780479,1.7473043779247,1.33068455285284,1.78736516214317,Malaga
2020-03-09,1.48189096825928,1.31585660712479,1.65614243994098,1.28596622457698,1.69150433880282,Malaga
2020-03-10,1.56459983950389,1.40730252739505,1.72884488209762,1.37879261966081,1.76198126677172,Malaga
2020-03-11,1.63152607089771,1.48513168604347,1.78366281326428,1.45843094363198,1.81418751612932,Malaga
2020-03-12,1.60661954629828,1.47584278486412,1.74203215041175,1.45187624995382,1.76908587048059,Malaga
2020-03-13,1.63097162997468,1.51205828399891,1.75364614924996,1.4901605314923,1.77804866809238,Malaga
2020-03-14,1.50582414394318,1.40306929889297,1.61161445249424,1.3840972309788,1.6326080208468,Malaga
2020-03-15,1.42203833649399,1.33071902882804,1.51589175335644,1.31382029287625,1.53447812280518,Malaga
2020-03-16,1.43063327520282,1.34558110769092,1.51786580935619,1.32980020622485,1.53509877810339,Malaga
2020-03-17,1.36732866785304,1.29016461042848,1.44636798565817,1.2758232942349,1.46195818380665,Malaga
2020-03-18,1.26865243643309,1.19909822037809,1.3398476147179,1.18615970607523,1.35387897693385,Malaga
2020-03-19,1.210558016733,1.14590952015729,1.27669125895596,1.13387411613894,1.28971547637806,Malaga
2020-03-20,1.18543360576723,1.12387373565076,1.24836737805512,1.11240400594995,1.26075210385992,Malaga
2020-03-21,1.11203220744558,1.05440012928745,1.17094788296312,1.04366160115552,1.18254126584698,Malaga
2020-03-22,1.04061205205239,0.986075887295749,1.09637681451184,0.975917478633746,1.10735344821123,Malaga
2020-03-23,0.965636981871999,0.913537840397359,1.01894525529832,0.903841653123541,1.02944670149207,Malaga
2020-03-24,0.921029439228749,0.86983855653101,0.973445083208708,0.860319977868936,0.983779327142881,Malaga
