dates,R0,Q05,Q95,Q025,Q975,city
2020-02-23,0.589468337923077,0.293321123917663,0.968799598742891,0.254490589086648,1.06271380923335,Alicante
2020-02-24,1.13228375688736,0.669752661302096,1.69342349572454,0.602893413193044,1.82572786682028,Alicante
2020-02-25,1.16084329096332,0.686645797705916,1.7361366281324,0.618100162272972,1.8717781054718,Alicante
2020-02-26,1.27673480023655,0.787007460821223,1.86288254798998,0.714578775809856,1.99933444870794,Alicante
2020-02-27,1.50390939094328,0.984819407511398,2.11273705433383,0.905451695387162,2.25172914829676,Alicante
2020-02-28,1.63226520234019,1.12551750109399,2.21616621439689,1.04582311426213,2.34714927000025,Alicante
2020-02-29,1.7266890984929,1.25015141339326,2.26644696372512,1.17320146899304,2.38544134193024,Alicante
2020-03-01,1.90124702013821,1.4507681625094,2.40193584604857,1.37594189565117,2.51016775012771,Alicante
2020-03-02,1.76746136784768,1.38796176309789,2.18484000405385,1.32394985012998,2.27405853978748,Alicante
2020-03-03,1.60325093165839,1.28366912596617,1.95220922857199,1.22920329611095,2.02622607233009,Alicante
2020-03-04,1.55955896220203,1.27380810912646,1.86925523239391,1.22458922208463,1.93441245070116,Alicante
2020-03-05,1.57130762001981,1.30915041906389,1.85330419921837,1.26351688275585,1.91214446716806,Alicante
2020-03-06,1.57000477248027,1.33110819705267,1.82527063287008,1.28913728434251,1.87813924268263,Alicante
2020-03-07,1.41212859893527,1.20615951993698,1.6315842247561,1.16983145831358,1.67689113799761,Alicante
2020-03-08,1.4934224515102,1.2961034209892,1.70236774209383,1.2610066646824,1.74520537765893,Alicante
2020-03-09,1.62954357430327,1.4391085165764,1.82983131399409,1.40492352636583,1.87057676681436,Alicante
2020-03-10,1.99400819377039,1.80345740352866,2.19254071926104,1.76882014100692,2.23249309148256,Alicante
2020-03-11,1.94818480577811,1.78655551758983,2.11565796257332,1.75696134235851,2.14914377622599,Alicante
2020-03-12,1.82590701481686,1.69170554441589,1.96438864506365,1.66700073025759,1.99194384218047,Alicante
2020-03-13,1.75478135105594,1.63994467436872,1.87286731343074,1.61870859198461,1.89626730744796,Alicante
2020-03-14,1.70572022661165,1.60582216315257,1.80814015856712,1.58727758273517,1.82836424059414,Alicante
2020-03-15,1.6019297781951,1.51592080509441,1.68992493790313,1.49991132801401,1.70725717818692,Alicante
2020-03-16,1.52209718379864,1.44651588873327,1.59928982097818,1.43241606125148,1.61446277986263,Alicante
