dates,R0,Q05,Q95,Q025,Q975,city
2020-02-22,0.501631201491829,0.235430979686441,0.848645022809315,0.201681759852589,0.93586280639534,Valencia
2020-02-23,0.875203997782026,0.474833675568368,1.37452681986674,0.419694335777384,1.49526882820022,Valencia
2020-02-24,1.39931845704705,0.84598171386595,2.06585072774272,0.765020421755619,2.22195737969594,Valencia
2020-02-25,1.79611560636351,1.19034432963506,2.50371687049763,1.09711407413947,2.66461415770257,Valencia
2020-02-26,1.69263059879237,1.16714205454891,2.29812578318768,1.0845003628004,2.43395293157001,Valencia
2020-02-27,1.74384092803665,1.26256962114421,2.28896040405765,1.1848553050161,2.40913679661233,Valencia
2020-02-28,1.95727829284458,1.49850192490131,2.46657106414383,1.42216140391346,2.57652190173274,Valencia
2020-02-29,1.65338345306763,1.2884728821025,2.05585192821639,1.22717306741824,2.14214339586694,Valencia
2020-03-01,1.7424378490898,1.4052845274236,2.10958464265504,1.34760130625544,2.18723037637504,Valencia
2020-03-02,1.58189350212138,1.29571841068825,1.89171822765353,1.24635215752863,1.95682618719836,Valencia
2020-03-03,1.48020009143558,1.22919568153375,1.75053759870665,1.18557959415247,1.80702317398468,Valencia
2020-03-04,1.45639897636002,1.22650632611818,1.70267853474438,1.18626088569558,1.75383304927962,Valencia
2020-03-05,1.39300214969949,1.18468859463425,1.61532564438936,1.14803092998806,1.6613104300037,Valencia
2020-03-06,1.48096257401651,1.27987715893549,1.69424534872421,1.24419005175564,1.73805343453123,Valencia
2020-03-07,1.62386025821267,1.42897839851849,1.82911185953758,1.39406088780271,1.87093402758513,Valencia
2020-03-08,1.59196342689408,1.41768756294836,1.77465627899179,1.38626575142119,1.81168275593061,Valencia
2020-03-09,1.78550009283359,1.61829452823736,1.95956306950646,1.58786704153123,1.99455699807146,Valencia
2020-03-10,2.00942658280119,1.85273567073933,2.17143025921157,1.82396400992096,2.20373992682529,Valencia
2020-03-11,1.8819005094358,1.75246171301652,2.0151943811376,1.72857016276257,2.04165325805114,Valencia
