ID,area,pop,dens_pop,lon,lat,r_cbd,d_av,Oi,Dj,dens_Oi,dens_Dj
148,0.339818743,6543,19254.38234,-43.243745,-22.918542,7719.850754,7.658329535,225,17,662.1176871,50.02666969
149,0.716801486,17159,23938.28744,-43.247883,-22.922646,7720.452242,7.27619795,761,529,1061.660746,738.0007027
150,1.520341813,20518,13495.64935,-43.256065,-22.932117,7721.774877,8.026173808,931,923,612.3622937,607.1003191
151,1.032808503,23591,22841.60126,-43.259257,-22.926074,7721.333613,7.454031017,1103,987,1067.961773,955.6466637
152,4.708414122,17329,3680.432424,-43.272317,-22.929943,7722.339149,7.38973981,845,951,179.4659472,201.9788352
153,2.614762486,22483,8598.486524,-43.243462,-22.880749,7716.12189,7.539207843,1277,1678,488.3808785,641.7408881
154,0.305613606,13887,45439.73087,-43.252486,-22.879943,7716.474761,6.437564512,538,72,1760.392829,235.5916053
155,0.89216819,17627,19757.48542,-43.254518,-22.852643,7713.888624,5.573056903,1090,1940,1221.74273,2174.477887
156,0.629634635,9317,14797.4706,-43.262308,-22.857886,7714.777187,5.372713104,581,845,922.7573704,1342.048155
158,0.762149644,5932,7783.248404,-43.257878,-22.869049,7715.662178,7.994546467,426,642,558.9453507,842.3542609
159,1.484764739,12409,8357.553002,-43.25189,-22.86417,7714.895774,6.386326002,1493,3046,1005.546509,2051.503461
161,0.447158376,3844,8596.506755,-43.252629,-22.844133,7712.961652,9.433333484,345,604,771.5387176,1350.751842
162,1.827727626,33552,18357.22102,-43.277275,-22.851326,7714.849724,6.91084512,1511,961,826.7096137,525.7895028
163,1.508388725,19217,12740.08462,-43.262152,-22.842256,7713.23348,7.827798144,989,1148,655.6665293,761.0770228
166,1.316039201,18191,13822.53658,-43.282391,-22.843697,7714.345235,7.977993219,902,1052,685.3899181,799.3682858
167,1.932464509,23201,12005.9126,-43.273125,-22.836155,7713.159809,7.568416904,1227,1436,634.9405096,743.0925605
168,1.51338825,403,266.2898962,-43.26613,-22.829196,7712.140556,18.40862528,22,15,14.53691741,9.911534598
169,1.791617765,7119,3973.503801,-43.276411,-22.818663,7711.598319,7.868710907,469,787,261.7745867,439.2678033
17,14.67639823,28169,1919.340124,-43.639761,-22.876487,7734.764208,15.73123112,1341,831,91.37119197,56.62152165
170,0.872486449,9097,10426.52297,-43.282035,-22.831042,7713.084523,7.794110488,661,1098,757.6048897,1258.472268
171,2.038085075,30104,14770.72786,-43.295857,-22.842906,7714.913228,6.884938028,1436,934,704.5829527,458.2733133
173,1.868924654,18818,10068.89173,-43.212501,-22.929676,7719.450925,8.562822312,648,136,346.7234479,72.7691187
174,0.931307419,14535,15607.09138,-43.20364,-22.928894,7718.950393,9.597419868,536,410,575.5349832,440.2413118
175,0.447071344,7348,16435.85547,-43.20514,-22.922723,7718.415272,7.482553448,507,1356,1134.047186,3033.072947
177,1.142584534,14674,12842.81343,-43.309475,-22.834655,7714.755738,6.438689536,762,759,666.9090794,664.2834531
178,0.686318375,10610,15459.29758,-43.295118,-22.831287,7713.73605,5.515829093,886,1267,1290.946056,1846.082001
179,1.13703854,19127,16821.7693,-43.286485,-22.825661,7712.769138,5.778757494,792,336,696.5463108,295.5044955
18,2.823215157,26519,9393.191282,-43.638896,-22.920147,7739.003592,15.03164517,1194,1522,422.9220706,539.1016679
180,1.428008022,1380,966.3811256,-43.281146,-22.810662,7711.039136,7.560550823,453,1211,317.2251086,848.0344515
