ring,r_cbd,density
0.0,1.6352596238179458,11197.203603247488
1.0,4.551295093423474,11507.581136155357
2.0,7.1981974433943785,13480.635221965327
3.0,10.39980876444087,8736.382461508227
4.0,13.498614913061779,6474.9122634038895
5.0,16.76782992429656,7783.127745275446
6.0,19.344792346528777,7952.336112850161
7.0,22.611437508124947,4072.0710591397465
8.0,25.411092498531833,6144.658256734766
9.0,28.418696068185778,5196.917319239768
10.0,31.292475421166362,4695.871102433282
11.0,34.8553645676106,2589.113580743453
12.0,37.224533642003856,4384.930674449711
13.0,39.91694687430798,5267.984373498948
14.0,42.98650401097125,4450.969822435341
15.0,46.441062954523176,2668.7706633647235
16.0,48.36994829879179,1507.58319076794
