ring,r_cbd,density
0.0,0.6573692892647233,5440.010405035734
1.0,1.3951186453422633,10919.33840168969
2.0,2.374623235151353,14592.660263023066
3.0,3.4547002853545816,16550.763794258484
4.0,4.551653326776063,8712.472035669205
5.0,5.494933361620891,12311.809953179007
6.0,6.381091045601875,18067.549384610895
7.0,7.591649504658478,12502.262487174261
8.0,8.509074691616725,11177.533485655142
9.0,9.569202310780113,9784.36936163359
10.0,10.479205861723953,12172.316160174738
11.0,11.427760122941669,5571.8846687052
12.0,12.295704693153038,7435.79565940334
13.0,13.528748302044301,6748.538417309348
14.0,14.656143473294108,5440.111800553246
15.0,15.672514661753167,4967.300842409194
16.0,16.358255637752983,10448.741520938413
17.0,17.475955101891078,8604.619011799154
18.0,18.555785994962132,7445.169871954245
19.0,19.334326935992873,7433.957916520331
20.0,20.411471740867,9437.061432106622
21.0,21.613121758991745,5206.452117887931
22.0,22.594751280223278,3333.730637641109
23.0,23.45244084790103,3998.239165596444
24.0,24.445018253576364,7285.499267677645
25.0,25.435674309848288,7515.961820527823
26.0,26.50704725505064,4467.50626164917
27.0,27.593399776987543,4213.809914667667
28.0,28.429128055705768,5510.301808836982
29.0,29.788174388812514,10764.43527211333
30.0,30.376694419967386,3781.98662403495
31.0,31.520261387953138,4898.138577315353
32.0,32.442792809435545,8764.445939532303
33.0,33.41647722790002,8124.1631326341985
34.0,34.59640730061229,4753.559026988033
35.0,35.55524088157547,1383.6887686939476
36.0,36.51873198215229,6849.661786017937
37.0,37.30824088338177,3239.635136887932
38.0,38.387128335621995,3001.807872109183
39.0,39.31623300416954,5602.060490884935
40.0,40.402385754535814,4559.770840905957
41.0,41.42252446954144,5667.404058867336
42.0,42.408817169972984,4129.074462638659
43.0,43.19578820933069,3753.6520030087354
44.0,44.19715070001551,7525.88111570241
45.0,45.40949906816446,2719.991149775545
46.0,46.85063779575241,9393.191282020174
47.0,47.363204136463345,2144.024190813187
48.0,48.36994829879179,1507.58319076794
