ring,r_cbd,density
0.0,1.1898010857561472,9595.870630740834
1.0,3.0122750037034636,15755.27350145275
2.0,5.012202375578399,10174.20642278139
3.0,6.734109715126549,15139.407963059764
4.0,9.053942299382108,10456.175796688138
5.0,10.889728691626608,8261.523994769566
6.0,12.981868253751058,7049.324729134938
7.0,15.12040451948088,5214.723270107902
8.0,17.06033924149716,9242.651902851423
9.0,18.87761813965963,7440.74214928756
10.0,20.947138169571247,6766.489586181566
11.0,23.08755598304225,3707.1619566557088
12.0,24.921039763617678,7383.911198958246
13.0,26.916040523917886,4354.859983819876
14.0,28.804156561439765,6020.272793856299
15.0,30.87050600949548,4132.9034818106975
16.0,32.6152720044744,8589.098147886887
17.0,35.04892965210587,2312.187257664434
18.0,36.836701931308156,4840.882439698126
19.0,39.00574191841549,4363.640566445349
20.0,40.6696561396119,4980.0528734050895
21.0,42.68165207734678,3966.937993563244
22.0,45.01619751710723,3352.073905382224
23.0,47.24179881791378,2608.568804683421
24.0,48.36994829879179,1507.58319076794
