ring,distance,r_cbd
0.0,11.150369933875181,0.6573692892647233
1.0,8.720617126901434,1.3951186453422462
2.0,9.507872034670397,2.374623235151379
3.0,9.013690828064364,3.454700285354283
4.0,9.238129185424565,4.551653326775999
5.0,8.672337431811572,5.494933361621176
6.0,13.404606929271246,6.381091045601937
7.0,7.4832620985769545,7.591649504658031
8.0,7.279684395927062,8.509074691616982
9.0,6.838148536082575,9.569202310781906
10.0,7.168000325959541,10.479205861722432
11.0,6.945730556436835,11.427760122941669
12.0,7.4374329657150495,12.295704693153038
13.0,8.036724960071519,13.528748302044301
14.0,6.501253178843842,14.656143473294108
15.0,6.981877075385901,15.672514661753167
16.0,7.144312738848836,16.358255637752983
17.0,7.527005875339822,17.475955101891078
18.0,8.148193277048668,18.555785994962132
19.0,7.707201621608637,19.334326935992873
20.0,8.03261428000524,20.411471740867
21.0,8.614490230315921,21.613121758991745
22.0,8.998715689656805,22.594751280223278
23.0,9.275613686519803,23.45244084790103
24.0,8.78863776724324,24.445018253576364
25.0,8.712482704381584,25.435674309848288
26.0,9.425496902873078,26.50704725505064
27.0,7.673166485222821,27.593399776987543
28.0,9.580270030486401,28.429128055705768
29.0,8.170766738840271,29.788174388812514
30.0,10.714176661041208,30.376694419967386
31.0,11.83936771664498,31.520261387953138
32.0,10.977816521123136,32.442792809435545
33.0,8.22487306975581,33.41647722790002
34.0,12.239480564116892,34.59640730061229
35.0,13.511947908021968,35.55524088157547
36.0,11.821322391220024,36.51873198215229
37.0,11.92142168197813,37.30824088338177
38.0,12.973877524189938,38.387128335621995
39.0,9.982516684872305,39.31623300416954
40.0,9.224846480478375,40.402385754535814
41.0,17.993355205337085,41.42252446954144
42.0,12.388197954836954,42.408817169972984
43.0,12.514895836635889,43.19578820933069
44.0,10.878444656689636,44.19715070001551
45.0,17.181140582227926,45.40949906816446
46.0,15.031645171179132,46.85063779575241
47.0,14.713335675389812,47.363204136463345
48.0,14.948167169287869,48.36994829879179
