GeoID,Longitude,Latitude
0,-70.9783977,42.2079922
1,-70.9638286,42.1625005
2,-70.9130105,42.1267374
3,-71.1046716,42.3815931
4,-71.1530601,42.3146076
5,-71.1170508,42.280496
6,-71.5888888,42.5048231
7,-71.1097117,42.3703899
8,-71.3886852,42.0945815
9,-70.9780198,42.1263403
10,-70.9770258,42.3773816
11,-71.0106634,42.5586984
12,-71.296332,42.653447
13,-71.0935375,42.3734743
14,-71.220143,42.3541178
15,-71.1595561,42.173495
16,-71.2334919,42.2862908
17,-71.2225924,41.9766863
18,-71.0958241,41.9118976
19,-71.1457331,41.8884278
20,-71.1100216,41.9533457
21,-71.1609155,41.9147158
22,-71.068305,41.8859557
23,-71.0116902,41.8624856
24,-71.3337865,41.9898092
25,-71.3250492,41.9789385
26,-71.3093358,41.9983328
27,-71.1111528,41.8975952
28,-71.0958051,41.9023763
29,-71.1790669,41.957441
30,-71.2037397,41.93274
31,-70.9126706,42.1470653
32,-71.0270465,42.3320503
33,-71.039548,42.4109347
34,-71.2072017,42.279371
35,-71.0541678,42.3644367
36,-70.995271,42.0562401
37,-71.0759066,42.3685005
38,-71.2825999,42.4565098
39,-71.1282123,42.1269479
40,-70.8823,42.058518
41,-71.0727569,42.3359561
42,-71.6534753,42.131482
43,-71.1539992,42.5855749
44,-71.4159751,42.3054903
45,-71.0040043,42.0694477
46,-71.0755159,42.3518354
47,-71.0761484,42.3458876
48,-71.1068303,42.3345666
49,-71.0872292,42.3094485
50,-71.1414486,42.2821618
51,-71.1105971,42.3664307
52,-71.1599129,42.4107842
53,-71.2118848,42.0572579
54,-70.9950735,42.2234333
55,-71.3324741,42.6219571
56,-71.1507289,42.4713653
57,-71.0810868,42.4213426
58,-71.1417104,42.3957391
59,-71.3466052,42.0708954
60,-70.7454981,41.9789399
61,-70.9846206,41.9582895
62,-70.9459898,41.9999555
63,-70.9327637,41.9775054
64,-70.9519064,41.9500489
65,-70.7002574,41.9525076
66,-71.5034426,42.3546962
67,-71.6015767,42.6914784
68,-71.2197246,42.2354674
69,-70.9422927,42.4874689
70,-71.1282159,42.351329
71,-71.0639956,42.3593442
72,-71.056975,42.3645208
73,-71.5148867,42.3070332
74,-71.1317615,42.7377776
75,-71.3093264,42.6376032
76,-71.2078229,42.600652
77,-71.2279582,42.3817384
78,-71.1753699,42.3639318
79,-71.0406784,42.1528119
80,-71.1033879,42.3462887
81,-71.0043188,42.3854556
82,-71.0742308,42.2740065
83,-71.1514976,42.2600645
84,-71.1438162,42.4083786
85,-71.1743265,42.3300314
86,-71.1443956,42.234692
87,-71.1611678,42.3540662
88,-71.0747098,42.3171635
89,-71.2012979,42.5270644
90,-71.0951296,42.3834701
91,-71.1824222,42.3081957
92,-70.795227,42.151055
93,-71.0561502,42.3669462
94,-71.0198545,42.4167928
95,-71.1676247,42.684165
96,-71.0924792,42.7735152
97,-71.301193,42.6412968
98,-71.132032,42.4845479
99,-71.0763174,42.5185203
100,-71.1581972,42.7054006
101,-71.0476688,42.4362513
102,-71.0146488,42.2733766
103,-70.8502001,42.0579686
104,-71.282173,42.6488296
105,-71.3663877,42.2943351
106,-71.0886375,42.3419667
107,-71.0397908,42.3816657
108,-71.0718235,42.3419361
109,-71.0722753,42.3229604
110,-71.4509538,42.4197794
111,-71.1307172,42.6980029
112,-71.2566101,42.693552
113,-71.1693673,42.7169313
114,-71.2343967,42.7017627
115,-71.1946132,42.727479
116,-71.1839672,42.7062117
117,-71.1136625,42.6167887
118,-71.0401101,42.797895
119,-71.0913629,42.7928945
120,-71.0159351,42.7539
121,-71.3740841,42.6093601
122,-70.9566523,42.5776492
123,-70.9884254,42.0783286
124,-71.2763607,42.5383576
125,-71.1884942,42.3239724
126,-71.4677305,42.2413574
127,-71.3925784,42.0272827
128,-71.0820198,42.3023757
129,-71.3628109,42.1725506
130,-71.0147469,42.4308837
131,-71.5501487,42.0402242
132,-71.2455161,42.4377302
133,-71.4332239,42.2821039
134,-71.2880327,42.2352395
135,-70.9887207,42.2582818
136,-70.741927,42.0027229
137,-71.1269738,42.2782721
138,-71.1507097,42.2791295
