GeoID,Longitude,Latitude
0,-43.098233,-22.892357
1,-43.07974,-22.82462
2,-43.081562,-22.844485
3,-43.252958,-22.689076
4,-43.303046,-22.712575
5,-43.098003,-22.838741
6,-43.37648,-22.804538
7,-43.49453,-22.881086
8,-43.17324,-22.92162
9,-43.428933,-22.785884
10,-43.098268,-22.904644
11,-43.373645,-22.796528
12,-43.054372,-22.898739
13,-43.056235,-22.634276
14,-43.343634,-22.764136
15,-43.213155,-22.904614
16,-43.348878,-22.866401
17,-43.424699,-22.782942
18,-43.573084,-22.720828
19,-43.223361,-22.897224
20,-43.224916,-22.905772
21,-42.791235,-22.678479
22,-42.972087,-22.91296
23,-42.975421,-22.85377
24,-42.946001,-22.805406
25,-43.514432,-22.927539
26,-43.236672,-22.895771
27,-43.216327,-22.922106
28,-43.315145,-22.830115
29,-43.30442,-22.825919
30,-43.325553,-22.874654
31,-43.171065,-22.786144
32,-43.34624,-22.8955
33,-43.465042,-22.870613
34,-43.586979,-22.894748
35,-43.20364,-22.928894
36,-43.259257,-22.926074
37,-43.295857,-22.842906
38,-43.221977,-22.901745
39,-43.422614,-22.815886
40,-43.072566,-22.898576
41,-43.210454,-22.630076
42,-43.246375,-22.697383
43,-43.639933,-22.817157
44,-43.242188,-22.929154
45,-43.641376,-22.941072
46,-43.451749,-23.016168
47,-43.486079,-23.022757
48,-43.255863,-23.001825
49,-43.316018,-23.002748
50,-43.372797,-23.003324
51,-43.383314,-23.003528
52,-43.418657,-23.006417
53,-43.329167,-23.009659
54,-43.351003,-23.00889
55,-43.406781,-23.011626
56,-43.203254,-22.798488
57,-43.341143,-22.822207
58,-43.308303,-23.011566
59,-43.42749,-22.770213
60,-43.404903,-22.803134
61,-43.187525,-22.957965
62,-43.388123,-22.803635
63,-43.193957,-22.975023
64,-43.175488,-22.938849
65,-43.414239,-22.775584
66,-43.193699,-22.967755
67,-43.459054,-22.894329
68,-43.276173,-22.898489
69,-43.609893,-22.646204
70,-43.370319,-22.91039
71,-43.497688,-22.870761
72,-43.252486,-22.879943
73,-43.557327,-22.973623
74,-43.091273,-22.869488
75,-43.361732,-22.798495
76,-43.426947,-22.805805
77,-43.243745,-22.918542
78,-43.415088,-22.836276
79,-43.063278,-22.814438
80,-43.439292,-22.924713
81,-43.367282,-22.930563
82,-43.252699,-22.719212
83,-43.389038,-22.844692
84,-43.032387,-22.817786
85,-43.277275,-22.851326
86,-43.262858,-22.666458
87,-43.247408,-22.818704
88,-43.284913,-22.914212
89,-43.388087,-22.988003
90,-43.393866,-22.895789
91,-43.000698,-22.904592
92,-43.177831,-22.936679
93,-43.336766,-22.793043
94,-43.178406,-22.963761
95,-43.270296,-22.960177
96,-43.049241,-22.878932
97,-43.09188,-22.884158
98,-43.284284,-22.892734
99,-43.316371,-22.884778
100,-43.106488,-22.909102
101,-43.123063,-22.902695
102,-43.282142,-22.866426
103,-43.184775,-22.972026
104,-43.174577,-22.6341
105,-43.194421,-22.986707
106,-42.812982,-22.723261
107,-42.927468,-22.769753
108,-42.959848,-22.875814
109,-43.492848,-22.863026
110,-43.179239,-22.962354
111,-43.226334,-22.920855
112,-43.201807,-22.964102
113,-43.211844,-22.9627
114,-43.354534,-22.816003
115,-43.362198,-22.871075
116,-43.353403,-22.828684
117,-43.684704,-22.929872
118,-43.334373,-22.938683
119,-43.486483,-22.972238
120,-43.498967,-22.877486
121,-43.228158,-22.854093
122,-43.332413,-22.86788
123,-43.299636,-22.77909
124,-43.243439,-22.904154
125,-43.204113,-22.916474
126,-43.050658,-22.806759
127,-43.260518,-22.905661
128,-43.537054,-22.841981
129,-43.358908,-22.712737
130,-43.249616,-22.90439
131,-43.294501,-23.003748
132,-43.333596,-23.003591
133,-43.554152,-23.036805
134,-43.2009,-22.954949
135,-43.378333,-22.835572
136,-43.368761,-22.963186
137,-43.431332,-22.870649
138,-43.295118,-22.831287
139,-43.281276,-22.90142
140,-43.341129,-22.960883
141,-43.39967,-22.826254
142,-43.413453,-22.872793
143,-43.330707,-22.660409
144,-43.10332,-22.937503
145,-43.370988,-22.769022
146,-43.304786,-22.899393
147,-43.313526,-22.784947
148,-44.091867,-22.928588
149,-43.529824,-22.894245
150,-43.363928,-22.834736
151,-43.336322,-22.998255
152,-43.292821,-22.751236
153,-43.181903,-22.95509
154,-43.365911,-22.779441
155,-43.130945,-22.902047
156,-43.236841,-22.869508
157,-43.035758,-22.924039
158,-43.257351,-22.887208
159,-43.324784,-22.881646
160,-43.54938,-22.7182
161,-43.030513,-22.972633
162,-43.186888,-22.79759
163,-42.819627,-22.740599
164,-42.910216,-22.946727
165,-42.940324,-22.822971
166,-42.990637,-22.789858
167,-43.256271,-22.918072
168,-43.376787,-22.937932
169,-43.564018,-22.875605
170,-43.206911,-22.972265
171,-43.243035,-22.937683
172,-43.252629,-22.844133
173,-43.281146,-22.810662
174,-43.327663,-22.819237
175,-43.370109,-22.845079
176,-43.192989,-22.904055
177,-43.247883,-22.922646
178,-43.282391,-22.843697
179,-43.693374,-22.961689
180,-43.121213,-22.893135
181,-43.193612,-22.948946
182,-43.237975,-22.926592
183,-43.295445,-22.811489
184,-43.294747,-22.787016
185,-43.182609,-22.91797
186,-43.25189,-22.86417
187,-43.403469,-22.841555
188,-43.622953,-22.955597
189,-43.830519,-22.903144
190,-43.322825,-23.006109
191,-43.474857,-23.004851
192,-43.476931,-23.025251
193,-43.177137,-22.954737
194,-43.192783,-22.983373
195,-43.275103,-22.881396
196,-43.309977,-22.843369
197,-43.161936,-22.950436
198,-43.294222,-22.861673
199,-43.321687,-22.847767
200,-43.062539,-22.875803
201,-43.450442,-22.753024
202,-43.307931,-22.820611
203,-43.316786,-22.870507
204,-43.420854,-22.677935
205,-43.243462,-22.880749
206,-43.332802,-22.828896
207,-43.212163,-22.984333
208,-43.320175,-22.824456
209,-43.574686,-22.94163
210,-43.391414,-22.71155
211,-43.570875,-22.665057
212,-43.254518,-22.852643
213,-43.387212,-22.952275
